"loc_id","id","species","stop_id","lon","lat","timestamp","lc","used","pair","sim"
1,"KCH","HUGO",54,-61.22353,3.79161,"2020-09-01 11:02:00","3",1,1,0
2,"KCH","HUGO",54,-61.2254713943806,3.79086804816927,"2020-09-01 11:02:00","3",0,1,0
3,"KCH","HUGO",54,-61.2258321169351,3.79158699472343,"2020-09-01 11:02:00","3",0,1,0
4,"KCH","HUGO",54,-61.2278868737231,3.79117278081025,"2020-09-01 11:02:00","3",0,1,0
5,"KCH","HUGO",54,-61.2262968918049,3.79152458968518,"2020-09-01 11:02:00","3",0,1,0
6,"KCH","HUGO",54,-61.2267130054024,3.79140688468321,"2020-09-01 11:02:00","3",0,1,0
7,"KCH","HUGO",54,-61.2207326462072,3.79138112991939,"2020-09-01 11:02:00","3",0,1,0
8,"KCH","HUGO",54,-61.2243449200618,3.78974218873129,"2020-09-01 11:02:00","3",0,1,0
9,"KCH","HUGO",54,-61.2255465108647,3.79098450135989,"2020-09-01 11:02:00","3",0,1,0
10,"KCH","HUGO",54,-61.2264266052284,3.79071361428732,"2020-09-01 11:02:00","3",0,1,0
11,"KCH","HUGO",54,-61.2268010016674,3.79159160127257,"2020-09-01 11:02:00","3",0,1,0
12,"KCH","HUGO",54,-61.22154,3.7914,"2020-09-01 13:06:00","3",1,2,0
13,"KCH","HUGO",54,-61.2233954956733,3.79137131520886,"2020-09-01 13:06:00","3",0,2,0
14,"KCH","HUGO",54,-61.2229844415576,3.79157541257516,"2020-09-01 13:06:00","3",0,2,0
15,"KCH","HUGO",54,-61.2241790557726,3.79170114598067,"2020-09-01 13:06:00","3",0,2,0
16,"KCH","HUGO",54,-61.2240521635284,3.79172004505096,"2020-09-01 13:06:00","3",0,2,0
17,"KCH","HUGO",54,-61.2234193246968,3.79104561262593,"2020-09-01 13:06:00","3",0,2,0
18,"KCH","HUGO",54,-61.2233901920354,3.78832886557367,"2020-09-01 13:06:00","3",0,2,0
19,"KCH","HUGO",54,-61.2430169582699,3.79865149881476,"2020-09-01 13:06:00","3",0,2,0
20,"KCH","HUGO",54,-61.2223666555854,3.78997825784081,"2020-09-01 13:06:00","3",0,2,0
21,"KCH","HUGO",54,-61.2235655682788,3.79188707036374,"2020-09-01 13:06:00","3",0,2,0
22,"KCH","HUGO",54,-61.1924258782342,3.81117188005398,"2020-09-01 13:06:00","3",0,2,0
23,"KCL","HUGO",56,-65.2186737,-15.9089537,"2019-08-26 15:47:00","G",1,3,0
24,"KCL","HUGO",56,-65.2178342794268,-15.9097799681339,"2019-08-26 15:47:00","G",0,3,0
25,"KCL","HUGO",56,-65.2022948538087,-15.8498928374342,"2019-08-26 15:47:00","G",0,3,0
26,"KCL","HUGO",56,-65.2184589482318,-15.9088479529906,"2019-08-26 15:47:00","G",0,3,0
27,"KCL","HUGO",56,-65.2191000832777,-15.9132302666074,"2019-08-26 15:47:00","G",0,3,0
28,"KCL","HUGO",56,-65.2129642471076,-15.9015809422048,"2019-08-26 15:47:00","G",0,3,0
29,"KCL","HUGO",56,-65.2188905627445,-15.9086338224279,"2019-08-26 15:47:00","G",0,3,0
30,"KCL","HUGO",56,-65.2191891345454,-15.9090155437634,"2019-08-26 15:47:00","G",0,3,0
31,"KCL","HUGO",56,-65.2193008776532,-15.9085741212155,"2019-08-26 15:47:00","G",0,3,0
32,"KCL","HUGO",56,-65.2189959010829,-15.9094110998284,"2019-08-26 15:47:00","G",0,3,0
33,"KCL","HUGO",56,-65.2146684689812,-15.9082540068434,"2019-08-26 15:47:00","G",0,3,0
34,"KCL","HUGO",56,-65.2186737,-15.9088516,"2019-08-26 17:59:00","G",1,4,0
35,"KCL","HUGO",56,-65.2189567402998,-15.9090608374448,"2019-08-26 17:59:00","G",0,4,0
36,"KCL","HUGO",56,-65.218318032373,-15.9092934620998,"2019-08-26 17:59:00","G",0,4,0
37,"KCL","HUGO",56,-65.2154262352437,-15.9077039855872,"2019-08-26 17:59:00","G",0,4,0
38,"KCL","HUGO",56,-65.2177568250079,-15.9066633154533,"2019-08-26 17:59:00","G",0,4,0
39,"KCL","HUGO",56,-65.2199291503153,-15.9143353757732,"2019-08-26 17:59:00","G",0,4,0
40,"KCL","HUGO",56,-65.2229450243351,-15.9181408495885,"2019-08-26 17:59:00","G",0,4,0
41,"KCL","HUGO",56,-65.2184390528062,-15.9102710331695,"2019-08-26 17:59:00","G",0,4,0
42,"KCL","HUGO",56,-65.2322290079864,-15.9217996397718,"2019-08-26 17:59:00","G",0,4,0
43,"KCL","HUGO",56,-65.2196292522384,-15.9099889875399,"2019-08-26 17:59:00","G",0,4,0
44,"KCL","HUGO",56,-65.219019936412,-15.9090613982723,"2019-08-26 17:59:00","G",0,4,0
45,"KCL","HUGO",56,-65.2187805,-15.9087229,"2019-08-26 20:16:00","G",1,5,0
46,"KCL","HUGO",56,-65.2184991486277,-15.9085718033054,"2019-08-26 20:16:00","G",0,5,0
47,"KCL","HUGO",56,-65.2182005942541,-15.908131843692,"2019-08-26 20:16:00","G",0,5,0
48,"KCL","HUGO",56,-65.2230970645499,-15.9125389506493,"2019-08-26 20:16:00","G",0,5,0
49,"KCL","HUGO",56,-65.2181916767394,-15.9088395821782,"2019-08-26 20:16:00","G",0,5,0
50,"KCL","HUGO",56,-65.2212874456991,-15.9093827333381,"2019-08-26 20:16:00","G",0,5,0
51,"KCL","HUGO",56,-65.1956443622202,-15.9289135095178,"2019-08-26 20:16:00","G",0,5,0
52,"KCL","HUGO",56,-65.2199408336396,-15.9085199466409,"2019-08-26 20:16:00","G",0,5,0
53,"KCL","HUGO",56,-65.2178451530523,-15.9087430209452,"2019-08-26 20:16:00","G",0,5,0
54,"KCL","HUGO",56,-65.2192934086906,-15.9088641421546,"2019-08-26 20:16:00","G",0,5,0
55,"KCL","HUGO",56,-65.2315782879909,-15.9254964206619,"2019-08-26 20:16:00","G",0,5,0
56,"KCL","HUGO",56,-65.2178574,-15.9086723,"2019-08-26 22:32:00","G",1,6,0
57,"KCL","HUGO",56,-65.2241403487266,-15.9033806131764,"2019-08-26 22:32:00","G",0,6,0
