id,species,stop_id,start,end,duration,lon,lat
A129232041,AMGO,9,9/29/2022 0:00,10/3/2022 0:00,4,-56.29557417,-2.335236234
A129232061,AMGO,10,9/29/2022 0:00,10/9/2022 0:00,10,-49.81867059,-8.506377189
A129232064,AMGO,11,11/7/2022 0:02,11/12/2022 0:00,5,-54.33904653,-2.257126338
A171348943,AMGO,12,9/27/2022 0:00,10/3/2022 0:00,6,-53.92891502,-13.3554497
A171348945,AMGO,13,9/29/2022 0:00,10/5/2022 0:00,6,-57.61545657,-2.434630395
A171348946,AMGO,14,9/15/2022 0:00,9/29/2022 0:00,14,-55.3104353,-1.982499229
A171348946,AMGO,15,10/1/2022 0:00,10/5/2022 0:00,4,-55.39344639,-2.122705264
A172301369,AMGO,16,9/28/2022 15:02,10/10/2022 15:02,12,-60.01540907,3.241269042
A179670,AMGO,17,9/28/2019 15:02,10/14/2019 15:02,16,-61.21195163,3.82593286
A179672,AMGO,18,10/2/2019 15:02,10/6/2019 15:02,4,-59.9211731,-3.228130109
A179676,AMGO,19,9/24/2019 15:02,11/5/2019 15:02,42,-55.26144705,-2.101416721
A179678,AMGO,20,10/24/2019 15:02,11/1/2019 15:02,8,-56.41300805,-2.191116875
A179680,AMGO,21,10/22/2019 15:02,10/30/2019 15:02,8,-56.3178879,-2.076510723
A179686,AMGO,22,10/4/2019 15:02,10/8/2019 15:02,4,-58.2890714,-3.230195236
A179687,AMGO,23,9/12/2019 15:02,10/14/2019 15:02,32,-55.84622281,-1.802185042
A179689,AMGO,24,9/12/2019 15:02,9/26/2019 15:02,14,-54.95222706,-1.759126435
A179689,AMGO,25,9/28/2019 15:02,10/6/2019 15:02,8,-54.92873465,-1.91644417
A179692,AMGO,26,10/18/2019 15:02,10/20/2019 15:02,2,-54.6120672,-10.94263223
A180584,AMGO,27,9/18/2019 15:02,10/8/2019 15:02,20,-55.56365162,-2.039232096
A180585,AMGO,28,9/20/2019 15:02,10/8/2019 15:02,18,-56.07377389,-1.88013574
A180586,AMGO,29,9/14/2019 15:02,9/28/2019 15:02,14,-59.12153535,-3.300931392
A180588,AMGO,30,10/12/2019 15:02,10/14/2019 15:02,2,-57.82822369,-2.647769817
A180602,AMGO,31,9/30/2019 14:58,10/2/2019 15:02,2,-55.92430115,-1.8184448
A233009,AMGO,32,9/10/2022 15:02,9/20/2022 15:02,10,-58.18315582,-3.442685481
A233009,AMGO,33,9/22/2022 15:02,10/8/2022 15:02,16,-58.04867254,-3.390377257
KCH,HUGO,53,10/1/2019 8:38,10/2/2019 14:22,1.24,-62.42622004,-9.970756755
KCH,HUGO,54,9/1/2020 9:45,9/2/2020 14:56,1.22,-61.22488875,3.791775004
KCH,HUGO,55,9/4/2020 20:47,9/5/2020 22:06,1.05,-60.57958,-3.34508
KCL,HUGO,56,8/26/2019 13:30,8/27/2019 8:59,0.81,-65.2172182,-15.90835901
KCV,HUGO,57,9/12/2019 13:28,9/14/2019 15:45,2.09,-64.32317053,-15.20274769
MKK,HUGO,64,11/5/2021 12:01,11/8/2021 0:02,2.5,-67.14161907,-14.03914661
MKK,HUGO,65,11/12/2021 20:01,11/14/2021 21:48,2.07,-66.17654197,-14.29044203
MKK,HUGO,66,11/20/2021 16:02,11/23/2021 17:59,3.08,-65.6717916,-14.13060371
13A,LEYE,1,9/17/2019 15:00,10/7/2019 15:00,20,-55.68580366,-2.024157273
16A,LEYE,2,8/24/2019 15:00,9/7/2019 15:00,14,-66.12816292,-3.550919299
16A,LEYE,3,9/9/2019 15:00,9/21/2019 15:00,12,-65.99368031,-2.452078973
16A,LEYE,4,9/23/2019 15:00,10/1/2019 15:00,8,-61.35046892,-13.00095772
19A,LEYE,5,10/3/2019 15:00,10/9/2019 15:00,6,-57.88023664,-2.626291267
22A,LEYE,6,9/1/2019 15:00,9/5/2019 15:00,4,-65.38929518,-2.546195201
22A,LEYE,7,9/19/2019 15:00,9/25/2019 15:00,6,-64.48754976,-15.92255098
28A,LEYE,8,9/15/2019 15:00,9/23/2019 15:00,8,-59.35490338,-3.2431334
A61,LEYE,34,9/3/2019 15:00,9/5/2019 15:00,2,-55.9566212,-2.13913595
A61,LEYE,35,9/7/2019 15:00,9/19/2019 15:00,12,-55.68275181,-2.218437326
A65,LEYE,36,9/7/2019 15:00,10/1/2019 15:00,24,-57.17833386,-2.613759141
A66,LEYE,37,9/13/2019 15:00,9/15/2019 15:00,2,-74.97761741,-7.487080929
A66,LEYE,38,9/21/2019 15:00,9/29/2019 15:00,8,-74.96979517,-7.651258861
A66,LEYE,39,10/3/2019 15:00,10/9/2019 21:25,6.27,-63.82045299,-17.29468026
A68,LEYE,40,9/13/2019 15:00,9/17/2019 15:00,4,-67.37627667,-9.770849867
A69,LEYE,41,8/22/2019 15:00,9/7/2019 15:00,16,-63.9097261,-14.22092732
A70,LEYE,42,9/13/2019 15:00,9/15/2019 15:00,2,-64.5810665,-14.39305634
A70,LEYE,43,9/19/2019 15:00,9/23/2019 15:00,4,-64.11513517,-16.55965426
A71,LEYE,44,9/5/2019 15:00,9/11/2019 15:00,6,-59.03575706,-3.454918404
A72,LEYE,45,8/26/2019 15:00,9/17/2019 15:00,22,-59.23679782,-3.327338102
A75,LEYE,46,9/11/2019 15:00,9/19/2019 15:00,8,-65.0198035,-3.024976774
