"id","species","stop_id","timestamp","lon","lat","lc","argos.semi.major","argos.semi.minor","argos.error.radius","argos.orientation","gps.fix.type.raw","dist_from","n_locs","start","end","duration"
"13A","LEYE",1,"2019-09-17 15:00:00",-55.69627,-2.0166783,"G",NA,NA,NA,NA,"3D",NA,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-19 15:00:00",-55.696064,-2.0165503,"G",NA,NA,NA,NA,"3D",26.98606997,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-21 15:00:00",-55.6977806,-2.0172927,"G",NA,NA,NA,NA,"3D",208.0877626,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-23 15:00:00",-55.6976242,-2.0172927,"G",NA,NA,NA,NA,"3D",17.39957826,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-23 21:14:00",-55.69639,-2.01461,"3",278,191,231,57,NA,328.6894159,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-25 15:00:00",-55.6977806,-2.0171137,"G",NA,NA,NA,NA,"3D",318.7683578,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-27 15:00:00",-55.6883087,-2.0216961,"G",NA,NA,NA,NA,"3D",1170.729025,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-09-29 15:00:00",-55.6882286,-2.0216703,"G",NA,NA,NA,NA,"3D",9.362535133,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-10-01 15:00:00",-55.6809845,-2.0230527,"G",NA,NA,NA,NA,"3D",820.4681639,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-10-01 21:20:00",-55.67554,-2.02315,"3",277,94,162,49,NA,605.798021,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-10-03 15:00:00",-55.6697464,-2.0388737,"G",NA,NA,NA,NA,"3D",1865.252271,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-10-05 15:00:00",-55.6709747,-2.0360577,"G",NA,NA,NA,NA,"3D",341.9641599,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-10-05 20:33:00",-55.67453,-2.03744,"3",170,85,121,117,NA,424.4024784,14,"9/17/2019 15:00","10/7/2019 15:00",20
"13A","LEYE",1,"2019-10-07 15:00:00",-55.6710281,-2.0367231,"G",NA,NA,NA,NA,"3D",397.6732664,14,"9/17/2019 15:00","10/7/2019 15:00",20
"16A","LEYE",2,"2019-08-24 15:00:00",-66.1313629,-3.5525248,"G",NA,NA,NA,NA,"3D",NA,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",2,"2019-08-26 15:00:00",-66.125145,-3.5444608,"G",NA,NA,NA,NA,"3D",1132.739516,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",2,"2019-08-28 15:00:00",-66.1300354,-3.5520639,"G",NA,NA,NA,NA,"3D",1005.773519,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",2,"2019-09-01 15:00:00",-66.1307297,-3.5525248,"G",NA,NA,NA,NA,"3D",92.64502067,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",2,"2019-09-03 15:00:00",-66.1312408,-3.5524735,"G",NA,NA,NA,NA,"3D",57.07248931,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",2,"2019-09-05 15:00:00",-66.1316223,-3.5529599,"G",NA,NA,NA,NA,"3D",68.76340586,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",2,"2019-09-07 15:00:00",-66.1170044,-3.5494273,"G",NA,NA,NA,NA,"3D",1671.062574,7,"8/24/2019 15:00","9/7/2019 15:00",14
"16A","LEYE",3,"2019-09-09 15:00:00",-65.9891052,-2.4509313,"G",NA,NA,NA,NA,"3D",NA,6,"9/9/2019 15:00","9/21/2019 15:00",12
