"individual.local.identifier","species","stop_id","timestamp","lc","location.long","location.lat"
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4202929902816,-9.9721371798616
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4195752322331,-9.97491223625822
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.425473495653,-9.96653252838892
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4212176753795,-9.96886493436477
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4217851931955,-9.97120198769131
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4391956435053,-9.95232246340094
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.425764091097,-9.96571524106318
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4308028097179,-9.96390453597777
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4339170429468,-9.96165108574961
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4235154023125,-9.96977654928124
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4256848890179,-9.96757383478355
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4294337359382,-9.96548135115912
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4304534717096,-9.96471795799526
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4199813763292,-9.97313815528984
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.421016462824,-9.97356400139109
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4217160677297,-9.97305911293493
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4327969218511,-9.95717126198101
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4403682062218,-9.95038223957364
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4248113277099,-9.96658652999253
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4256667231294,-9.96748072251221
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4233852056879,-9.96936768700101
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4260945212426,-9.96833035849476
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4295341653461,-9.96594365669035
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4282710147687,-9.96764900938958
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4245110099921,-9.96887276777319
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.425939824428,-9.96832266538097
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4327682114174,-9.96082165768998
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4280758306531,-9.96363422684096
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4211432467578,-9.97249937259218
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4298226839847,-9.96559986301761
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4196649262304,-9.97400493078402
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4174310157439,-9.9742872992151
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4446306167045,-9.95067321195618
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4303414325387,-9.96537467372771
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4346661234366,-9.95475811233825
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4205272506864,-9.9706010675878
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4223740399349,-9.97197738728642
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4274598337594,-9.96551817519973
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4267162991189,-9.96329891992436
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4096614663871,-9.98574934265857
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4402151728154,-9.9493494015499
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4188253855364,-9.97603222880623
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4163399886897,-9.97745443061525
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4265176360166,-9.96433326626503
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4228789437064,-9.97109025582542
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4178930169505,-9.97519397869914
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.431887863136,-9.95930352180534
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4204462791266,-9.96989094698146
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4216507736178,-9.97437228057276
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4296649464727,-9.96603363759907
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4238274515467,-9.96929578793563
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4329181711751,-9.96054544339332
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4345625549641,-9.96120778269522
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4254488282794,-9.9681472848678
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4240396893286,-9.97120828789969
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4231747050004,-9.97065828690975
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4186747380662,-9.97372832905363
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4424527112319,-9.95094145588719
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4251594001335,-9.96894356393481
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4253015591855,-9.96856827712353
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4212711050103,-9.97168409855735
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4180411075788,-9.97550879711301
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4110511158611,-9.98262395219437
"KCH","HUGO",53,2019-10-01 08:38:00,"A",-62.4261613159087,-9.96801710157849
