"individual.local.identifier","species","stop_id","timestamp","lc","location.long","location.lat"
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188581478051,-15.9090012585263
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189221404611,-15.9090632688517
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188711736121,-15.9090015652027
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189102386635,-15.9091070608094
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188663721768,-15.9090171378032
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189095962572,-15.9090322856669
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189222231092,-15.9090071607526
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.218832841234,-15.9090584491642
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188076770348,-15.909025707059
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.218833530106,-15.909055963232
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2190500076125,-15.9090526487718
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189228307165,-15.9089909288532
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189789969562,-15.9089803152606
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188495590443,-15.9090291143335
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2187745197962,-15.9089314418916
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.218901327063,-15.9090279553671
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2190008775661,-15.9090414368876
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188889242545,-15.9089752788957
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2189175963863,-15.9089620840702
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2187654063459,-15.908974775046
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2188718048863,-15.909032719905
"KCL","HUGO",56,2019-08-26 13:30:00,"G",-65.2187405795129,-15.9089891990844
