"individual.local.identifier","species","stop_id","timestamp","lc","location.long","location.lat"
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217049914636,-15.2012368699371
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215471634711,-15.2011838217967
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217634243885,-15.2012215364146
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321762382276,-15.2012116300509
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217923409329,-15.2011357557
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217542999726,-15.2011394534621
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217620030521,-15.2010931109007
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217090238438,-15.2010544950324
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216243504942,-15.201161931271
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217100493188,-15.2011140515303
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217753018826,-15.2012784654569
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216637625605,-15.20122360352
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321762137076,-15.2011804787179
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217632136268,-15.2011836922316
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3218574011087,-15.2011976168682
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217275796299,-15.2011200829584
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216011140802,-15.2010809263375
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321618866061,-15.2011949765884
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217054418179,-15.2011423411136
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217039534908,-15.2010418716742
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216564324645,-15.2011349451945
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216205818274,-15.2011861298218
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216925045702,-15.2011522708866
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321561501741,-15.201156295042
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217104439607,-15.2011636246821
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3218583159482,-15.201222847642
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216720721467,-15.2012710207458
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3218019600558,-15.2012502951822
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216119064887,-15.2013366229548
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215981157445,-15.2011017105987
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216737018976,-15.2011718043968
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217286901151,-15.2011678949238
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216857871946,-15.2012197027525
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217054509231,-15.2012333723606
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217847666958,-15.2011294363901
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216545850292,-15.2012405364483
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216312015589,-15.2012875504251
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321688143519,-15.201136981564
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216054002836,-15.2011337423175
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215895352119,-15.2011388143763
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217829616392,-15.2012193863687
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217248648964,-15.2011161094477
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216655627024,-15.201208152491
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217347296913,-15.2012208178385
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217923894777,-15.201273072682
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217386229206,-15.2012874915033
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216370639988,-15.2011854453463
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216921808829,-15.2010517143812
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215852456833,-15.201163128376
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216634529448,-15.2010322366301
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216713305609,-15.2011479101444
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216140983275,-15.2011143894408
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216830001227,-15.20118332468
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216526373436,-15.2012017292802
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216699119748,-15.2011809114572
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217024897463,-15.2012929607238
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216753700254,-15.201291330597
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216580967306,-15.2012429667727
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217262398796,-15.2013028507118
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217128395553,-15.2011574798411
