"individual.local.identifier","species","stop_id","timestamp","lc","location.long","location.lat"
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419285279139,-14.0383184359888
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141856182343,-14.0383833074394
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418549713577,-14.0383331910212
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420161627504,-14.0382650151879
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420198852105,-14.0382813862028
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419665309701,-14.0382955589124
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420008287986,-14.0383447858725
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141991151009,-14.0382654470558
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420606696336,-14.0382856624891
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419353728749,-14.0382623976791
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420296985792,-14.0382376370473
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418911217477,-14.038349890095
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419779374541,-14.0383010534161
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420270626038,-14.038268930397
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419244393027,-14.038256441137
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419224322992,-14.0383380862664
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419067426822,-14.0383708032637
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419530303511,-14.0383320410712
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420563284402,-14.0383320904797
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418750046817,-14.0383208792869
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420317819722,-14.0382997624558
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419220877085,-14.0382723745247
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419306052872,-14.0382907719095
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420145253748,-14.0383646150571
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420219673162,-14.0382980628633
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418811770864,-14.0383138304688
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420235569478,-14.0383364878428
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.142002451658,-14.0383045120379
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419683237747,-14.0383806946516
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141888713861,-14.0383202411231
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141955840792,-14.0382974177799
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420220815263,-14.0383307870578
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419007708913,-14.0382221793734
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418668548247,-14.0382021040541
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419291030521,-14.0383119047816
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418749565296,-14.0383312283944
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419683477483,-14.0383462077289
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420831408883,-14.0382869690572
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418823319073,-14.0383445109856
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419944274729,-14.0384362064457
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419569289042,-14.0383441750579
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420305480686,-14.0382749799501
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418433254571,-14.0384077086644
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418864038056,-14.0382599823614
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141923836129,-14.0383970089597
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418477272506,-14.0383812947905
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420631263854,-14.0383766461599
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419731223521,-14.0383643508723
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418602520017,-14.0383294024945
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419798916057,-14.0383081911277
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419188342233,-14.0383266102274
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419901568308,-14.0383844642156
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419081932577,-14.038356501881
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419220173296,-14.038304573658
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1417940251063,-14.0383330433113
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420232974705,-14.0383019422907
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419380437658,-14.0382976220365
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141864082537,-14.0383592849481
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418874496582,-14.038202639558
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419726255186,-14.0382858532076
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420221736744,-14.0382277840489
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420183869839,-14.0383021614094
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420056692429,-14.0382791174926
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419443361461,-14.0383389397279
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420058860645,-14.03843048173
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418552531139,-14.03836701257
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419128137254,-14.0383563592185
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419625667872,-14.038217382745
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419847036649,-14.0383749373193
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420047412221,-14.0382455798319
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419468513994,-14.038357828743
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1418732798502,-14.038340685593
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419194401144,-14.0383053499794
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420189093145,-14.0383355966833
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1420922554766,-14.0383230555434
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419641298745,-14.0383613151672
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419344174858,-14.0383120981019
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419628689732,-14.0382972311011
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.141991501254,-14.038302998525
"MKK","HUGO",64,2021-11-05 12:01:00,"G",-67.1419723140629,-14.0382858664833
